id,name,HubDist,dem05_med,current_med,aspect05_med,slope05_med,distRiver_med,visInOut_med,visInIng_med,prom10k_med,rough_med,globRad_med
184,Peñarrota,1430.915323,960.0289917,0.103950765,121.9679871,15.50105524,38.04601097,0.177348569,0.219568029,39,3.945007324,8722.134766
215,San Millán,1259.000511,1069.392944,0.089083974,170.7476196,12.10897255,23.25940704,0.042560084,0.048512464,7,2.679077148,9018.029297
228,Casco urbano Sto Domingo,499.8311203,995.3330078,0.222535842,187.2790222,3.382974625,11,0.090402484,0.087219693,20,0.914001465,8979.794922
230,Castro de la Yecla,1569.273436,1153.219482,0.062357382,10.8233757,18.14740276,380.005249,0.272067368,0.268326193,102,3.763549805,8318.723145
236,Lastrilla,92.4480285,964.9845276,0.113117345,214.0867157,5.312367439,194.2009277,0.152238011,0.160033062,33,1.324005127,9008.291992
241,Santiago,130.5108161,992.1480103,0.162985574,146.3502045,6.60425806,48.68264198,0.202414453,0.199030638,41,1.677001953,8979.523438
257,Santa María de la Vega,1254.78771,1183.078003,0.107470163,190.3522644,6.918629885,209,0.077827662,0.063019298,13,1.542053223,9083.397461
260,San Quirico,2052.885583,1196.828979,0.124461123,135.6943359,12.99068308,268.4771729,0.096606139,0.112397257,28,3.212463379,8986.382324
262,Río Paraíso,302.7555036,946.1699829,0.175324814,270.8895264,2.520747662,101.0742264,0.132694542,0.153533459,41,0.66796875,8936.052734
278,Onsar de Pedro García,6712.62708,1202.411987,0.097081934,335.2019653,8.471357346,96.67729568,0.304699361,0.319563568,123,2.012084961,8786.189453
280,Cuerda Los Morales,5620.074059,1238.373535,0.092933358,149.7226334,12.45432949,117.5457382,0.082836371,0.075560618,22,2.851013184,9060.050781
282,San Martín Duruelo,7704.508879,1198.588989,0.169001396,262.1143799,8.051495075,151.7168427,0.264104784,0.272648096,102,1.884033203,8980.262695
115,Rinieblas,751.1956332,1246.145508,0.123285938,203.5524063,10.11178827,148.6606903,0.071383901,0.048534799,7,2.360961914,8982.836426
